base_normativa_para_a_concessao_de_regimes_especiais_com_o_tratamento_tributario_de_isencao;unnamed_1;unnamed_2
Norma;Dispositivo normativo;
Lei 6.763/1975;art. 12, § 70;
Lei 6.763/1975;art. 12, § 74;
Lei 6.763/1975;art. 12, § 75;
Lei 6.763/1975;art. 12, § 76 caput;
Lei 6.763/1975;art. 12, § 76, I e II;
Lei 6.763/1975;art. 12, § 77;
Lei 6.763/1975;art. 12, § 78;
Lei 6.763/1975;art. 17;
Lei 6.763/1975;art. 7º e 9º;
Lei 6.763/1975;art. 13, § 30;
Lei 6.763/1975;art. 32-F, inciso II;
Lei 6.763/1975;art. 32-I;
Lei 6.763/1975;Art. 225;
Lei 6.763/1975;Art. 225-A;
Lei 14.128/2001;Art. 3º;
Lei 22.549/2017;art. 45;
Convênio ICMS 190/17;Íntegra do Convênio ;
Lei nº 23.090/2018;art. 2º;
Lei Complementar nº 160;art. 3°, §§ 3°, 4° e 7º ;
Lei 13.449/2000;art. 4º, V e § 2º, I e II;
Decreto 46.485/2014;art. 1º;
Decreto 46.488/2014;art. 5º;Dilação de prazo
Decreto 46.694/2014;art. 3º  ;Dilação de prazo
Decreto 46.972/2016;art. 2º;Dilação prazo FEM
;Decreto nº 43.080/2002;Decreto n° 48.589/2023
 Regulamento do ICMS;Item 195, Parte 1, Anexo I;Item 161, Parte 1, Anexo X
 Regulamento do ICMS;Item 204, Parte 1, Anexo I;Item 166, Parte 1, Anexo X
 Regulamento do ICMS;Item 206, Parte 1, Anexo I;Item 168, Parte 1, Anexo X
 Regulamento do ICMS;Item 221, Parte 1, Anexo I;Item 180, Parte 1, Anexo X
 Regulamento do ICMS;Item 222, Parte 1, Anexo I;Item 181, Parte 1, Anexo X
 Regulamento do ICMS;art. 269-A, Parte 1, Anexo IX;Art. 188, Anexo VIII
 Regulamento do ICMS;art. 46, § 2º, Parte 1, Anexo XV;Art. 24, Anexo VII - Dilação de prazo
