base_normativa_para_a_concessao_de_regimes_especiais_com_o_tratamento_tributario_de_reducao_de_base_de_calculo;unnamed_1;unnamed_2;unnamed_3
Item do Anexo I,  Decreto nº 47.394/2018;Norma;Dispositivo normativo;
;Lei 6.763/1975;art. 7º e 9º;
art. 13, § 30;Lei 6.763/1975;art. 13, § 30;
;Lei 6.763/1975;art. 17;
11;Lei 6.763/1975;art. 32-F, inciso II;
34;Lei 6.763/1975;art. 32-I;
35;Lei 6.763/1975;Art. 225;
63;Lei 6.763/1975;Art. 225-A;
;Convênio ICMS 190/17;Íntegra do Convênio ;
;Lei nº 23.090/2018;art. 2º;
;Lei Complementar nº 160;art. 3°, §§ 3°, 4° e 7º ;
;Lei 13.449/2000;art. 4º, V e § 2º, I e II;
;;Decreto nº 43.080/2002;Decreto n° 48.589/2023
; Regulamento do ICMS;subitem 19.8, Parte 1, Anexo IV;subitem 22.4, Parte 1, Anexo II
; Regulamento do ICMS;subitem 19.9, Parte 1, Anexo IV;subitem 22.5, Parte 1, Anexo II
327; Regulamento do ICMS;Item 51, Parte 1, Anexo IV;Item 52, Parte 1, Anexo II
329; Regulamento do ICMS;Item 55, Parte 1, Anexo IV;Item 56, Parte 1, Anexo II
330; Regulamento do ICMS;Item 56, Parte 1, Anexo IV;Item 57, Parte 1, Anexo II
; Regulamento do ICMS;subitem 43.1, Parte 1, Anexo IV;subitem 44.1, Parte 1, Anexo II
; Regulamento do ICMS;art. 501, Parte 1, Anexo IX;Art. 332
; Regulamento do ICMS;art. 65, § 3º, Parte 1, Anexo XV;Art. 83, Anexo VII
